Sl no.,Type,Company Name,Address
178,Electric vehicle charging station,Mahindra Charging Station,"Near Tank No 3, Opp Goutams, Street Number 24, Action Area I, New Town, West Bengal 700156"
179,Electric vehicle charging station,Electric Vehicle Charging Station,"Street Number 30, AF Block(Newtown), Action Area I, New Town, West Bengal 700059"
180,Electric vehicle charging station,Electric Vehicle Charging Station,"Under, Maa Flyover, near Charcoal grill Restaurant, Park Circus, at, Kolkata, West Bengal 700017"
181,Electric vehicle charging station,Electric Vehicle Charging Station,"63, Khudiram Bose Rd, Birendranagar Colony, Belgachia, Kolkata, West Bengal 700037"
182,Electric vehicle charging station,Electric Vehicle Charging Station,"Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156"
183,Electric vehicle charging station,Electric Vehicle Charging Station,"292, R N Guha Road, Dumdum Nagerbazar, Kolkata, West Bengal 700028"
184,Electric vehicle charging station,Electric Vehicle Charging Station,"Millenium Tower, Major Arterial Road(South-East), International Finalcial Hub(CBD), Kadampukur Village, Newtown, Kolkata, West Bengal 700156"
185,Electric vehicle charging station,EESL Charging Station,"Tata Cancer Hospital, DH Block(Newtown), Action Area 1D, Newtown, New Town, West Bengal 700156"
186,Electric vehicle charging station,Mahindra Charging Station,"HFP4+4QC, AE Block(Newtown), Newtown, New Town, West Bengal 700059"
187,Electric vehicle charging station,Electric Vehicle Charging Station,"NH34, Jatragachhi, Deshbandhu Nagar, Newtown, Kolkata, West Bengal 700156"
188,Electric vehicle charging station,NKDA Charging Station,"Unnamed Road, Jatragachhi, Deshbandhu Nagar, Rekjuani, Kolkata, West Bengal 700156"
189,Electric vehicle charging station,Electric Vehicle Charging Station,"%u0995%u09B2%u0995%u09BE%u09A4%u09BE, Ghuni Rd, Action Area IIE, Newtown, New Town, West Bengal 700157"
190,Electric vehicle charging station,Electric Vehicle Charging Station,"Automall, Service Rd, Action Area II, Tali Park, Action Area IID, New Town, West Bengal 700052"
191,Electric vehicle charging station,Electric Vehicle Charging Point,"Plot No.2C, Premises No.10, 097, Street Number 110, BA Block(Newtown), Action Area I, Newtown, New Town, West Bengal 700156"
192,Electric vehicle charging station,Electric Vehicle Charging Station,"Opp.Lake Police Stn./ Indian Oil Corp. H.O, Jodhpur Park, Kolkata, West Bengal 700068"
